1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.511252	0.000000	22.291850	0.018332	2399
1	-0.544545	0.000000	22.291850	0.014476	12
2	-0.539350	0.000000	22.291850	0.017939	11
3	-0.547823	0.000000	22.291850	0.018739	11
4	-0.555930	0.000000	22.291850	0.016268	11
5	-0.558517	0.000000	22.291850	0.018492	11
6	-0.573848	0.000000	22.291850	0.014442	11
7	-0.542103	0.000000	22.291850	0.017858	11
8	-0.536682	0.000000	22.291850	0.015259	12
9	-0.601105	0.000000	22.291850	0.021978	11
10	-0.601328	0.000000	22.291850	0.018112	12
11	-0.591572	0.000000	22.291850	0.016698	12
12	-0.597407	0.000000	22.291850	0.015456	11
13	-0.595490	0.000000	22.291850	0.016400	13
14	-0.602464	0.000000	22.291850	0.019729	11
15	-0.630345	0.000000	22.291850	0.015279	12
16	-0.652992	0.000000	22.291850	0.009770	12
17	-0.611464	0.000000	22.291850	0.014924	12
18	-0.617542	0.000000	22.291850	0.013814	11
19	-0.644822	0.000000	22.291850	0.016265	12
20	-0.624833	0.000000	22.291850	0.015077	11
21	-0.651887	0.000000	22.291850	0.016473	12
22	-0.640629	0.000000	22.291850	0.009501	12
23	-0.661296	0.000000	22.291850	0.006378	10
24	-0.630560	0.000000	22.291850	0.012604	10
25	-0.649426	0.000000	22.291850	0.012481	10
26	-0.641274	0.000000	22.291850	0.012277	11
27	-0.662841	0.000000	22.291850	0.013330	14
28	-0.668541	0.000000	22.291850	0.009933	12
29	-0.654070	0.000000	22.291850	0.006483	12
30	-0.647712	0.000000	22.291850	0.011207	15
31	-0.662940	0.000000	22.291850	0.011634	12
32	-0.632616	0.000000	22.291850	0.005565	12
33	-0.665817	0.000000	22.291850	0.004851	12
34	-0.649413	0.999916	21.278665	0.004762	12
35	-0.660480	1.999916	20.353502	0.006468	12
36	-0.652356	2.999916	19.505437	0.008962	13
37	-0.667485	2.940442	19.553893	0.006927	11
38	-0.650311	2.880969	19.602590	0.006053	12
39	-0.681976	3.671247	18.974673	0.008712	12
40	-0.654580	3.611773	19.020525	0.004731	13
41	-0.650451	3.552299	19.066599	0.005006	13
42	-0.626196	3.492826	19.112897	0.007121	12
43	-0.649756	3.433352	19.159420	0.006926	11
44	-0.684662	3.373878	19.206170	0.006318	12
45	-0.665425	3.314405	19.253148	0.006271	12
46	-0.658917	3.254931	19.300358	0.003382	12
47	-0.650759	3.195457	19.347799	0.006193	16
48	-0.668149	3.138290	19.393620	0.009237	12
49	-0.639102	3.078817	19.441522	0.005119	11
50	-0.676269	3.019343	19.489660	0.006025	12
51	-0.638176	2.959869	19.538038	0.005239	11
52	-0.658822	3.959869	18.755260	0.003047	12
53	-0.661893	3.900397	18.800055	0.011478	12
54	-0.684365	4.900397	18.074196	0.007216	12
55	-0.670619	5.900397	17.402302	0.005572	11
56	-0.666176	5.840924	17.440862	0.006430	12
57	-0.658521	6.782054	16.850045	0.008054	14
58	-0.663443	6.722580	16.886193	0.004623	12
59	-0.645455	6.663106	16.922497	0.004786	12
60	-0.646413	7.663097	16.332110	0.006156	12
61	-0.671349	7.603627	16.366066	0.006244	11
62	-0.662033	7.544153	16.400166	0.008045	12
63	-0.683882	7.484973	16.434239	0.005672	12
64	-0.668445	8.479263	15.879937	0.007186	11
65	-0.656358	8.419790	15.912039	0.007013	10
66	-0.631361	8.360316	15.944271	0.006395	12
67	-0.610905	9.360316	15.419103	0.003884	12
68	-0.638605	10.360316	14.927427	0.005891	16
69	-0.684606	11.319905	14.484227	0.006676	10
70	-0.640678	11.260432	14.510929	0.005556	12
71	-0.619291	12.258923	14.075286	0.007542	12
72	-0.650590	12.199450	14.100500	0.007579	13
73	-0.643841	12.139976	14.125805	0.007259	11
74	-0.678647	13.139976	13.712044	0.004452	17
75	-0.643205	13.082329	13.735236	0.008014	11
76	-0.627810	13.586471	13.535028	0.004523	12
77	-0.656153	13.526998	13.558342	0.008165	12
78	-0.677948	13.467524	13.581737	0.005739	12
79	-0.636421	13.408050	13.605213	0.006199	12
80	-0.620410	14.406968	13.221376	0.004569	11
81	-0.689689	14.347859	13.243485	0.005182	13
82	-0.642309	15.339176	12.882208	0.005934	12
83	-0.680099	16.339176	12.537203	0.005854	12
84	-0.678417	16.279787	12.557176	0.007972	15
85	-0.661200	17.279787	12.229139	0.005392	12
86	-0.655106	18.279787	11.917805	0.004426	12
87	-0.629582	18.220314	11.935877	0.004563	11
88	-0.655979	18.160840	11.954004	0.005218	12
89	-0.668787	18.101369	11.972186	0.006171	12
90	-0.662115	18.041895	11.990423	0.005210	12
