1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.091718	627.201626	0.003719	988
1	-0.778891	623.504937	0.017208	29
2	-0.000000	619.865785	0.000000	29
3	-0.716528	616.282728	0.014301	29
4	-0.000000	612.754375	0.000000	30
5	-0.014557	609.279381	0.001438	30
6	-0.992884	605.856447	0.008247	30
7	-0.926122	602.484317	0.015071	29
8	-0.272538	599.161779	0.000785	29
9	-0.000000	595.887656	0.000000	28
10	-0.486829	592.660813	0.008795	29
11	-0.005836	589.480151	0.000851	29
12	-0.822531	586.344606	0.018777	29
13	-0.626845	583.253145	0.017853	29
14	-0.628946	580.204771	0.003564	31
15	-0.000000	577.198517	0.000000	29
16	-0.638376	574.233444	0.008033	30
17	-0.702480	571.308645	0.029514	28
18	-0.000001	568.423237	0.000001	29
19	-0.570838	565.576365	0.020849	32
20	-0.052787	562.767201	0.001613	30
21	-0.002516	559.994938	0.000413	29
22	-0.860524	557.258797	0.005847	32
23	-1.038588	554.558018	0.008475	29
24	-0.813948	551.891865	0.008065	29
25	-0.916842	549.259621	0.010929	30
26	-0.427045	546.660592	0.007111	29
27	-0.832498	544.094102	0.011332	31
28	-0.047049	541.559494	0.001014	30
29	-0.000459	539.056129	0.000092	29
30	-1.104795	536.583387	0.014730	31
31	-0.484788	534.140663	0.012158	29
32	-0.287550	531.727370	0.002340	26
33	-0.969704	529.342935	0.028162	28
34	-0.998211	526.986802	0.018474	29
35	-0.991770	524.658430	0.014992	31
36	-0.610401	522.357290	0.015741	29
37	-0.556912	520.082868	0.016266	29
38	-0.687282	517.834665	0.012928	31
39	-0.000000	515.612193	0.000000	29
40	-0.823578	513.414976	0.013347	29
41	-0.761882	511.242551	0.010806	29
42	-0.872621	509.094468	0.024651	28
43	-0.829707	506.970285	0.009064	31
44	-0.108258	504.869574	0.004613	29
45	-0.976037	502.791916	0.011459	30
46	-0.085529	500.736903	0.003294	29
47	-0.964312	498.704137	0.012495	29
48	-0.533828	496.693228	0.015207	31
49	-0.637325	494.703798	0.003789	29
50	-0.000000	492.735476	0.000000	28
51	-0.671901	490.787900	0.008899	31
52	-0.776999	488.860718	0.033717	29
53	-1.036334	486.953585	0.008684	30
54	-0.516059	485.066164	0.007877	28
55	-0.577798	483.198126	0.008851	30
56	-0.597634	481.349149	0.011003	31
57	-0.697673	479.518920	0.016283	30
58	-0.315048	477.707132	0.002587	30
59	-0.909909	475.913485	0.007872	29
60	-0.000136	474.137684	0.000054	29
61	-1.057845	472.379445	0.026066	30
62	-0.000000	470.638485	0.000000	29
63	-0.928091	468.914531	0.014292	28
64	-1.016161	467.207315	0.011195	32
65	-0.585363	465.516573	0.012555	29
66	-0.000000	463.842050	0.000000	28
67	-0.557238	462.183494	0.007376	27
68	-1.137768	460.540658	0.022609	29
69	-0.000009	458.913303	0.000003	31
70	-1.004317	457.301192	0.021458	29
71	-0.640835	455.704096	0.040763	29
72	-0.778380	454.121787	0.009444	32
73	-0.000599	452.554045	0.000088	29
74	-0.000000	451.000653	0.000000	29
75	-0.798593	449.461399	0.010770	29
76	-0.000000	447.936075	0.000000	27
77	-0.337008	446.424477	0.007221	30
78	-0.000000	444.926406	0.000000	29
79	-0.266454	443.441666	0.006149	29
80	-0.931496	441.970065	0.011255	28
81	-0.327163	440.511415	0.007809	29
82	-0.854905	439.065533	0.007900	31
83	-0.000000	437.632238	0.000000	29
84	-0.755863	436.211351	0.005156	30
85	-0.264768	434.802701	0.005472	29
86	-0.415552	433.406117	0.005056	29
87	-0.559746	432.021430	0.007593	31
88	-0.804438	430.648479	0.008775	29
