1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.355940	0.000000	32.159253	0.013419	1727.4
1	-0.361532	0.000000	32.159253	0.012208	4.0
2	-0.366539	0.000000	32.159253	0.012168	4.5
3	-0.394344	0.000000	32.159253	0.012770	4.2
4	-0.383544	0.000000	32.159253	0.009604	4.1
5	-0.385352	0.000000	32.159253	0.013341	4.1
6	-0.409364	0.000000	32.159253	0.011001	5.3
7	-0.386828	0.000000	32.159253	0.017384	6.2
8	-0.363214	0.000000	32.159253	0.010715	6.6
9	-0.421595	0.000000	32.159253	0.009275	4.1
10	-0.411055	0.000000	32.159253	0.014368	4.2
11	-0.408990	0.000000	32.159253	0.013654	4.0
12	-0.405016	0.000000	32.159253	0.012310	4.1
13	-0.436105	0.000000	32.159253	0.013940	6.1
14	-0.410196	0.000000	32.159253	0.016720	4.8
15	-0.451240	0.000000	32.159253	0.019455	7.0
16	-0.477902	0.000000	32.159253	0.016284	4.9
17	-0.453268	0.000000	32.159253	0.017869	4.0
18	-0.461992	0.000000	32.159253	0.019985	5.4
19	-0.492409	0.000000	32.159253	0.016347	6.9
20	-0.480825	0.000000	32.159253	0.015755	4.8
21	-0.501293	0.000000	32.159253	0.021058	4.9
22	-0.518820	0.000000	32.159253	0.018848	4.9
23	-0.531684	0.000000	32.159253	0.018919	7.3
24	-0.528518	0.000000	32.159253	0.016131	4.1
25	-0.537356	0.000000	32.159253	0.017409	6.9
26	-0.563180	0.000000	32.159253	0.017680	4.8
27	-0.559596	0.000000	32.159253	0.019113	4.9
28	-0.574988	0.000000	32.159253	0.017472	4.3
29	-0.574777	0.000000	32.159253	0.014605	3.9
30	-0.592567	0.000000	32.159253	0.018912	4.2
31	-0.575816	0.000000	32.159253	0.014975	10.9
32	-0.581667	0.000000	32.159253	0.015108	4.8
33	-0.589495	0.000000	32.159253	0.013121	5.9
34	-0.622093	0.000000	32.159253	0.009920	6.4
35	-0.623899	0.000000	32.159253	0.007968	4.7
36	-0.606804	0.000000	32.159253	0.010138	5.4
37	-0.606072	0.000000	32.159253	0.010014	5.3
38	-0.603454	0.000000	32.159253	0.012792	7.4
39	-0.640184	0.000000	32.159253	0.010737	4.0
40	-0.638952	0.000000	32.159253	0.008065	4.0
41	-0.610105	0.000000	32.159253	0.013038	3.9
42	-0.590902	0.000000	32.159253	0.015552	4.1
43	-0.620242	0.000000	32.159253	0.008314	7.5
44	-0.656721	0.000000	32.159253	0.007710	4.9
45	-0.628158	0.000000	32.159253	0.012141	4.8
46	-0.628776	0.000000	32.159253	0.006892	8.2
47	-0.635556	0.000000	32.159253	0.006380	4.6
48	-0.659545	0.000000	32.159253	0.009227	5.5
49	-0.639760	0.000000	32.159253	0.008651	5.2
50	-0.662874	0.000000	32.159253	0.008759	4.8
51	-0.627353	0.000000	32.159253	0.003789	4.4
52	-0.644132	0.000000	32.159253	0.005846	3.9
53	-0.627942	0.000000	32.159253	0.008090	4.0
54	-0.676085	0.000000	32.159253	0.008119	5.2
55	-0.655695	0.000000	32.159253	0.007379	8.4
56	-0.669908	0.999949	30.697539	0.008296	4.7
57	-0.645383	1.999949	29.362860	0.011267	4.6
58	-0.656574	2.999949	28.139405	0.006221	6.3
59	-0.653936	2.876093	28.285378	0.009462	4.5
60	-0.624680	2.752236	28.432872	0.006105	5.0
61	-0.662019	2.628380	28.581913	0.009947	6.2
62	-0.679479	2.504523	28.732525	0.008893	8.8
63	-0.669610	2.380667	28.884732	0.008020	6.3
64	-0.678062	2.256810	29.038561	0.006054	4.0
65	-0.639582	2.132954	29.194037	0.007014	3.9
66	-0.633471	2.009098	29.351186	0.007854	4.0
67	-0.613874	1.885241	29.510037	0.006463	5.8
68	-0.637191	2.882643	28.277620	0.007124	4.6
69	-0.671886	2.758787	28.425034	0.007629	7.1
70	-0.630555	2.634930	28.573992	0.010581	5.7
71	-0.623996	2.511074	28.724520	0.005710	4.7
72	-0.655826	2.387217	28.876643	0.006211	4.9
73	-0.656261	2.263360	29.030385	0.008678	6.8
74	-0.664179	2.139504	29.185773	0.004997	4.7
75	-0.654385	2.015647	29.342833	0.009416	4.6
76	-0.639378	1.891791	29.501593	0.009789	4.1
77	-0.650308	2.891791	28.266793	0.008173	7.1
78	-0.651253	3.891791	27.131206	0.006415	6.9
79	-0.652870	3.767934	27.266881	0.008076	4.9
80	-0.615208	4.687121	26.291164	0.005134	4.6
81	-0.711198	4.563265	26.418547	0.007191	4.5
82	-0.641295	4.461847	26.523775	0.006811	4.1
83	-0.682742	5.461842	25.521440	0.005907	3.9
84	-0.671711	5.343005	25.636570	0.006572	3.9
85	-0.666517	5.219149	25.757675	0.004669	6.7
