1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.694798	627.201626	0.028395	1236.4
1	-1.011980	623.504937	0.017843	9.5
2	-1.084207	619.865785	0.040572	10.0
3	-0.405433	616.282728	0.026563	14.0
4	0.000000	612.754375	0.000000	12.0
5	-0.409837	609.279381	0.013244	9.3
6	-0.658277	605.856447	0.012354	10.8
7	0.000000	602.484317	0.000000	13.5
8	0.000000	599.161779	0.000000	8.3
9	-0.580429	595.887656	0.022254	11.3
10	-0.000000	592.660813	0.000000	10.3
11	-0.512921	589.480151	0.014693	10.9
12	-0.593089	586.344606	0.012991	13.4
13	-0.252824	583.253145	0.002939	9.9
14	0.000000	580.204771	0.000000	7.9
15	-0.750803	577.198517	0.011304	12.9
16	-0.682951	574.233444	0.018863	9.3
17	-0.901931	571.308645	0.027082	9.1
18	-0.899284	568.423237	0.024629	8.2
19	-0.380704	565.576365	0.011430	8.7
20	0.000000	562.767201	0.000000	12.8
21	-0.875738	559.994938	0.012001	9.8
22	-0.505808	557.258797	0.011742	8.5
23	-0.040531	554.558018	0.000653	8.1
24	-1.033662	551.891865	0.008965	11.5
25	-0.864391	549.259621	0.019317	9.8
26	-0.629006	546.660592	0.033213	8.1
27	-0.710084	544.094102	0.007361	8.1
28	-0.525815	541.559494	0.004813	8.7
29	-0.364104	539.056129	0.010589	11.2
30	0.000000	536.583387	0.000000	12.7
31	-0.776447	534.140663	0.012166	8.3
32	0.000000	531.727370	0.000000	10.0
33	-0.087025	529.342935	0.003402	14.6
34	-0.936733	526.986802	0.012462	8.7
35	-0.231435	524.658430	0.007136	10.7
36	-0.216889	522.357290	0.001395	9.7
37	0.000000	520.082868	0.000000	14.4
38	-0.010043	517.834665	0.000511	8.9
39	-0.829343	515.612193	0.022664	8.0
40	-0.669767	513.414976	0.017906	8.2
41	-0.294308	511.242551	0.011609	10.9
42	-0.992282	509.094468	0.021804	8.1
43	-0.868081	506.970285	0.030107	10.2
44	0.000000	504.869574	0.000000	8.8
45	-0.417954	502.791916	0.013359	8.4
46	-0.263715	500.736903	0.005272	13.5
47	-0.894566	498.704137	0.028681	8.1
48	-0.131266	496.693228	0.005058	10.0
