1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.240758	0.000000	51.219086	0.006963	2509
1	-0.231780	0.000000	51.219086	0.006273	12
2	-0.216535	0.000000	51.219086	0.006126	12
3	-0.254578	0.000000	51.219086	0.007203	12
4	-0.264049	0.000000	51.219086	0.008617	12
5	-0.242934	0.000000	51.219086	0.007363	12
6	-0.248282	0.000000	51.219086	0.007769	12
7	-0.239937	0.000000	51.219086	0.007588	12
8	-0.228346	0.000000	51.219086	0.007378	12
9	-0.265566	0.000000	51.219086	0.010289	12
10	-0.265344	0.000000	51.219086	0.008567	12
11	-0.255974	0.000000	51.219086	0.008530	14
12	-0.267647	0.000000	51.219086	0.006472	12
13	-0.283746	0.000000	51.219086	0.006768	12
14	-0.261235	0.000000	51.219086	0.007736	11
15	-0.269334	0.000000	51.219086	0.009151	11
16	-0.273646	0.000000	51.219086	0.007341	13
17	-0.304139	0.000000	51.219086	0.008870	12
18	-0.282360	0.000000	51.219086	0.007364	12
19	-0.312792	0.000000	51.219086	0.006761	12
20	-0.292819	0.000000	51.219086	0.007854	12
21	-0.297488	0.000000	51.219086	0.005210	14
22	-0.296998	0.000000	51.219086	0.010032	11
23	-0.316574	0.000000	51.219086	0.008355	12
24	-0.293539	0.000000	51.219086	0.010145	12
25	-0.301552	0.000000	51.219086	0.008697	12
26	-0.320639	0.000000	51.219086	0.005385	12
27	-0.326411	0.000000	51.219086	0.010500	14
28	-0.358961	0.000000	51.219086	0.010923	11
29	-0.312929	0.000000	51.219086	0.007391	12
30	-0.347643	0.000000	51.219086	0.008626	12
31	-0.345543	0.000000	51.219086	0.010421	12
32	-0.344180	0.000000	51.219086	0.011377	11
33	-0.371342	0.000000	51.219086	0.010502	12
34	-0.359178	0.000000	51.219086	0.011149	11
35	-0.382868	0.000000	51.219086	0.013337	12
36	-0.394857	0.000000	51.219086	0.006730	12
37	-0.373466	0.000000	51.219086	0.009438	12
38	-0.365916	0.000000	51.219086	0.012092	12
39	-0.376395	0.000000	51.219086	0.013083	11
40	-0.405656	0.000000	51.219086	0.011589	11
41	-0.426240	0.000000	51.219086	0.009379	11
42	-0.416337	0.000000	51.219086	0.011766	12
43	-0.447923	0.000000	51.219086	0.010153	12
44	-0.435511	0.000000	51.219086	0.011178	13
45	-0.443046	0.000000	51.219086	0.011772	11
46	-0.459842	0.000000	51.219086	0.011649	11
47	-0.468141	0.000000	51.219086	0.008991	11
48	-0.466501	0.000000	51.219086	0.014733	12
49	-0.443880	0.000000	51.219086	0.013980	11
50	-0.498555	0.000000	51.219086	0.014526	10
51	-0.469825	0.000000	51.219086	0.012814	12
52	-0.533403	0.000000	51.219086	0.012252	11
53	-0.502988	0.000000	51.219086	0.012859	11
54	-0.540550	0.000000	51.219086	0.011798	14
55	-0.532024	0.000000	51.219086	0.014862	11
56	-0.533987	0.000000	51.219086	0.011978	11
57	-0.553242	0.000000	51.219086	0.010997	11
58	-0.538749	0.000000	51.219086	0.010956	11
59	-0.516550	0.000000	51.219086	0.013375	11
60	-0.560797	0.000000	51.219086	0.012899	11
61	-0.555962	0.000000	51.219086	0.013068	11
62	-0.567979	0.000000	51.219086	0.009969	10
63	-0.551914	0.000000	51.219086	0.013736	11
64	-0.561392	0.000000	51.219086	0.016861	12
65	-0.562588	0.000000	51.219086	0.011431	10
66	-0.580152	0.000000	51.219086	0.011732	11
67	-0.555295	0.000000	51.219086	0.013037	11
68	-0.604847	0.000000	51.219086	0.014397	11
69	-0.623991	0.000000	51.219086	0.011056	11
70	-0.612198	0.000000	51.219086	0.009202	11
71	-0.583095	0.000000	51.219086	0.013766	12
72	-0.599541	0.000000	51.219086	0.014576	11
73	-0.632571	0.000000	51.219086	0.015768	11
74	-0.656322	0.000000	51.219086	0.008523	10
75	-0.617079	0.000000	51.219086	0.012179	11
76	-0.628033	0.000000	51.219086	0.011179	11
77	-0.643306	0.000000	51.219086	0.014142	10
78	-0.660067	0.000000	51.219086	0.014756	12
79	-0.637305	0.000000	51.219086	0.013275	11
80	-0.636776	0.000000	51.219086	0.010214	11
81	-0.719299	0.000000	51.219086	0.010891	13
82	-0.660921	0.000000	51.219086	0.007629	11
83	-0.689099	0.000000	51.219086	0.010773	11
84	-0.712680	0.000000	51.219086	0.007459	11
85	-0.686198	0.000000	51.219086	0.007756	11
86	-0.684416	0.000000	51.219086	0.009778	10
87	-0.648134	0.000000	51.219086	0.006573	11
88	-0.689896	0.000000	51.219086	0.009028	11
89	-0.682317	0.000000	51.219086	0.007345	11
90	-0.686861	0.000000	51.219086	0.007176	11
91	-0.694639	0.000000	51.219086	0.006878	13
92	-0.700070	0.000000	51.219086	0.007657	11
93	-0.677995	0.000000	51.219086	0.011301	11
94	-0.657166	0.000000	51.219086	0.006458	11
95	-0.691376	1.000000	48.890945	0.003503	11
96	-0.716106	0.815325	49.304825	0.006463	12
97	-0.655782	0.630181	49.726852	0.003915	12
98	-0.711033	1.630181	47.529484	0.004411	11
99	-0.699651	2.627797	45.522686	0.005489	11
100	-0.681072	3.627797	43.674259	0.004331	11
101	-0.684417	3.442653	44.005076	0.003068	11
102	-0.698744	3.456085	43.980908	0.006673	11
103	-0.695455	4.019026	42.991314	0.009345	11
104	-0.677186	5.019026	41.339011	0.003767	11
105	-0.697059	6.019026	39.809015	0.006486	11
106	-0.667916	5.833881	40.083684	0.008703	10
107	-0.675105	5.648736	40.362169	0.008518	11
108	-0.659543	5.463591	40.644552	0.004683	12
109	-0.653510	6.463591	39.164609	0.003852	11
110	-0.666037	6.278446	39.430428	0.006045	11
111	-0.700239	7.276084	38.039242	0.006687	11
112	-0.690955	8.276084	36.739914	0.004344	9
113	-0.713376	9.270300	35.533206	0.004681	11
114	-0.695790	10.269545	34.397712	0.004644	11
115	-0.664025	11.269545	33.331762	0.007642	10
116	-0.703676	12.269545	32.329892	0.005623	10
117	-0.695285	13.269545	31.386492	0.007458	11
118	-0.673864	13.084400	31.556982	0.005508	10
119	-0.688606	14.084400	30.657523	0.009177	14
120	-0.681600	15.084400	29.807917	0.006480	11
121	-0.706509	16.084400	29.004131	0.005373	11
122	-0.670195	15.899255	29.149662	0.005264	10
123	-0.699390	15.744192	29.272676	0.006269	12
