1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.718728	627.201626	0.015386	1268
1	-0.968588	623.504937	0.025824	30
2	-0.895174	619.865785	0.026445	29
3	-0.624132	616.282728	0.052413	28
4	0.000000	612.754375	0.000000	30
5	-0.328974	609.279381	0.006068	29
6	-0.655352	605.856447	0.012993	28
7	0.000000	602.484317	0.000000	27
8	-0.000000	599.161779	0.000000	29
9	-0.587282	595.887656	0.024302	28
10	-0.000000	592.660813	0.000000	30
11	-0.468880	589.480151	0.010379	29
12	-0.763753	586.344606	0.011019	28
13	-0.237408	583.253145	0.003461	29
14	0.000000	580.204771	0.000000	30
15	-0.713564	577.198517	0.021968	29
16	-0.708673	574.233444	0.022032	29
17	-0.831358	571.308645	0.021460	29
18	-0.761516	568.423237	0.023871	30
19	-0.423060	565.576365	0.013645	29
20	0.000000	562.767201	0.000000	26
21	-0.915696	559.994938	0.010752	29
22	-0.519247	557.258797	0.008700	30
23	-0.037623	554.558018	0.001854	28
24	-1.051987	551.891865	0.014722	27
25	-0.887930	549.259621	0.017924	31
26	-0.663572	546.660592	0.019859	31
27	-0.660743	544.094102	0.019841	30
28	-0.508957	541.559494	0.005243	31
29	-0.371884	539.056129	0.010603	30
30	0.000000	536.583387	0.000000	25
31	-0.640207	534.140663	0.012297	28
32	0.000000	531.727370	0.000000	31
33	-0.091340	529.342935	0.003653	33
34	-0.970717	526.986802	0.011964	33
35	-0.255064	524.658430	0.005979	30
36	-0.215833	522.357290	0.002653	30
37	0.000000	520.082868	0.000000	29
38	-0.011152	517.834665	0.000651	28
39	-0.904220	515.612193	0.012268	30
40	-0.739373	513.414976	0.012679	30
41	-0.274865	511.242551	0.009297	29
42	-1.001285	509.094468	0.025875	29
43	-0.887722	506.970285	0.026448	29
44	0.000000	504.869574	0.000000	29
45	-0.470311	502.791916	0.017352	29
46	-0.294780	500.736903	0.002713	29
47	-0.969714	498.704137	0.030415	28
48	-0.127650	496.693228	0.005292	27
49	0.000000	494.703798	0.000000	31
50	-0.000000	492.735476	0.000000	28
51	-0.000000	490.787900	0.000000	22
52	-0.505426	488.860718	0.032727	28
53	-0.304801	486.953585	0.008353	28
54	-0.862617	485.066164	0.014928	28
55	-0.203171	483.198126	0.003074	34
56	-0.911532	481.349149	0.010389	31
57	-0.318802	479.518920	0.007496	29
58	-0.730458	477.707132	0.028678	30
59	-0.493705	475.913485	0.005122	30
60	-0.964804	474.137684	0.017988	31
61	-0.442752	472.379445	0.017473	29
62	0.000000	470.638485	0.000000	28
63	-0.284382	468.914531	0.003112	34
64	-0.678780	467.207315	0.008610	31
65	-0.865178	465.516573	0.024234	28
66	0.000000	463.842050	0.000000	29
67	-0.937244	462.183494	0.009430	30
68	-0.557599	460.540658	0.017196	28
69	-0.650669	458.913303	0.012608	30
70	-0.512190	457.301192	0.005256	28
71	-0.266937	455.704096	0.007422	31
72	-0.000000	454.121787	0.000000	31
73	-0.985537	452.554045	0.026412	32
74	-0.547966	451.000653	0.011907	29
75	-0.736332	449.461399	0.011138	30
76	-0.000034	447.936075	0.000004	30
77	-0.837240	446.424477	0.017976	29
78	-0.024075	444.926406	0.000326	30
79	-0.653441	443.441666	0.007727	29
80	-0.792150	441.970065	0.012608	30
81	-0.577873	440.511415	0.017768	29
82	-0.642149	439.065533	0.026557	30
83	-0.640034	437.632238	0.009031	30
84	-0.470725	436.211351	0.009879	30
85	-0.000000	434.802701	0.000000	29
86	-0.813915	433.406117	0.011173	29
87	-0.083011	432.021430	0.002758	30
88	-0.000031	430.648479	0.000028	28
89	0.000000	429.287101	0.000000	28
90	-0.807027	427.937140	0.023975	33
91	-0.152511	426.598440	0.001345	32
92	-0.564209	425.270849	0.015303	31
93	-0.099319	423.954220	0.001740	30
94	-0.577134	422.648404	0.007262	29
95	-0.070310	421.353259	0.002204	30
